R44,C00169_[cyt]+C00077_[cyt]<==>C00009_[cyt]+C00327_[cyt],-1000,1000,0,0.0077390842,0.0078488727
R45,C03406_[cyt]-->C00122_[cyt]+C00062_[cyt],0,1000,0,0.0077390842,0.0078488727
R46,C00002_[cyt]+C00327_[cyt]+C00049_[cyt]-->C00020_[cyt]+C00013_[cyt]+C03406_[cyt],0,1000,0,0.0077390842,0.0078488727
R47,2*C00002_[cyt]+C00064_[cyt]+C00288_[cyt]+C00001_[cyt]+C00080_[cyt]-->2*C00008_[cyt]+C00009_[cyt]+C00025_[cyt]+C00169_[cyt],0,1000,0,0,0
R48,C00002_[cyt]+C00014_[cyt]+C00011_[cyt]<==>C00008_[cyt]+C00169_[cyt],-1000,1000,0,0.0168191204,0.0170577205
R49,C00244_[cyt]+2*C00138_[cyt]+2*C00080_[cyt]-->C00088_[cyt]+C00001_[cyt]+2*C00139_[cyt],0,1000,0,0.2552903455,0.2589119559
R50,C00088_[cyt]+6*C00138_[cyt]+7*C00080_[cyt]-->C00014_[cyt]+2*C00001_[cyt]+6*C00139_[cyt],0,1000,0,0.2552903455,0.2589119559
R51,C00064_[cyt]+C00026_[cyt]+2*C00138_[cyt]+2*C00080_[cyt]-->2*C00025_[cyt]+2*C00139_[cyt],0,1000,0,0,0
R52,C00062_[cyt]+C00001_[cyt]-->C00327_[cyt]+C00014_[cyt],0,1000,0,0,0
R53,C00077_[cyt]+C00026_[cyt]<==>C01165_[cyt]+C00025_[cyt],-1000,1000,0,-0.0077390842,-0.0078488727
R54,C00062_[cyt]+C10385_[tlm]+C00001_[cyt]-->C03771_[cyt]+C00014_[cyt]+C16695_[tlm],0,1000,0,0,0
R55,C00062_[cyt]+C10385_[cym]+C00001_[cyt]-->C03771_[cyt]+C00014_[cyt]+C16695_[cym],0,1000,0,0,0
R56,C03771_[cyt]+C00027_[cyt]-->C01035_[cyt]+C00011_[cyt]+C00001_[cyt],0,1000,0,0,0
R57,C01035_[cyt]+C00001_[cyt]-->C00334_[cyt]+C00086_[cyt],0,1000,0,0,0
R58,C00086_[cyt]+C00001_[cyt]-->C00011_[cyt]+2*C00014_[cyt],0,1000,0,0.0011383767,0.001154526
R59,C00148_[cyt]+C00026_[cyt]+C00007_[cyt]-->C01157_[cyt]+C00042_[cyt]+C00011_[cyt],0,1000,0,0,0
R60,C01157_[cyt]+C00006_[cyt]-->C04281_[cyt]+C00005_[cyt]+C00080_[cyt],0,1000,0,0,0
R61,C04281_[cyt]+C00003_[cyt]+2*C00001_[cyt]-->C05947_[cyt]+C00004_[cyt]+C00080_[cyt],0,1000,0,0,0
R62,C05947_[cyt]+C00026_[cyt]<==>C05946_[cyt]+C00025_[cyt],-1000,1000,0,0,0
R63,C05946_[cyt]-->C00022_[cyt]+C00048_[cyt],0,1000,0,0,0
R64,C00062_[cyt]-->C00179_[cyt]+C00011_[cyt],0,1000,0,0.0011383767,0.001154526
R65,C00188_[cyt]-->C00109_[cyt]+C00014_[cyt],0,1000,0,0.00821099,0.0083274731
R66,C01102_[cyt]+C00001_[cyt]-->C00188_[cyt]+C00009_[cyt],0,1000,0,0,0.0156317395
R67,C01102_[cyt]+C00001_[cyt]-->C00188_[cyt]+C00009_[cyt],0,1000,0,0.0154130858,0
R68,C00002_[cyt]+C00263_[cyt]-->C00008_[cyt]+C01102_[cyt],0,1000,0,0.0154130858,0.0156317395
R69,C00441_[cyt]+C00005_[cyt]+C00080_[cyt]-->C00263_[cyt]+C00006_[cyt],0,1000,0,0.018179637,0.0184375377
R70,C03082_[cyt]+C00005_[cyt]+C00080_[cyt]-->C00441_[cyt]+C00009_[cyt]+C00006_[cyt],0,1000,0,0.0243809285,0.0247268022
R71,C00002_[cyt]+C00049_[cyt]-->C00008_[cyt]+C03082_[cyt],0,1000,0,0.0243809285,0.0247268022
R72,C00441_[cyt]+C00022_[cyt]-->C03340_[cyt]+2*C00001_[cyt],0,1000,0,0.0062012914,0.0062892645
R73,C03340_[cyt]+C00005_[cyt]+C00080_[cyt]-->C03972_[cyt]+C00006_[cyt],0,1000,0,0.0062012914,0.0062892645
